id	token	Денис	Настя	Лена
0	Моделирование	B-TERM	B-TERM	B-TERM
1	структурной	I-TERM	I-TERM	I-TERM
2	организации	I-TERM	I-TERM	I-TERM
3	единого	I-TERM	I-TERM	I-TERM
4	информационного	I-TERM	I-TERM	I-TERM
5	пространства	I-TERM	I-TERM	I-TERM
6	предприятия	I-TERM	I-TERM	I-TERM
7	-	I-TERM	I-TERM	I-TERM
8	разработчика	I-TERM	I-TERM	I-TERM
9	микроэлектронных	I-TERM	I-TERM	I-TERM
10	систем	I-TERM	I-TERM	I-TERM
11	При	O	O	O
12	формировании	O	O	O
13	единого	B-TERM	B-TERM	B-TERM
14	информационного	I-TERM	I-TERM	I-TERM
15	пространства	I-TERM	I-TERM	I-TERM
16	(	O	O	O
17	ЕИП	B-TERM	B-TERM	B-TERM
18	)	O	O	O
19	широко	O	O	O
20	используется	O	O	O
21	моделирование	B-TERM	B-TERM	B-TERM
22	как	O	O	O
23	объектов	B-TERM	B-TERM	B-TERM
24	информационного	I-TERM	I-TERM	I-TERM
25	обмена	I-TERM	I-TERM	I-TERM
26	,	O	O	O
27	так	O	O	O
28	и	O	O	O
29	инфраструктуры	B-TERM	B-TERM	B-TERM
30	ЕИП	I-TERM	I-TERM	I-TERM
31	.	O	O	O
32	Несмотря	O	O	O
33	на	O	O	O
34	большое	O	O	O
35	разнообразие	O	O	O
36	подходов	B-TERM	B-TERM	B-TERM
37	к	O	O	O
38	решению	O	O	O
39	данной	O	O	O
40	задачи	B-TERM	B-TERM	B-TERM
41	,	O	O	O
42	в	O	O	O
43	частности	O	O	O
44	с	O	O	O
45	использованием	O	O	O
46	метода	B-TERM	B-TERM	B-TERM
47	матрицы	I-TERM	I-TERM	I-TERM
48	структуры	I-TERM	I-TERM	I-TERM
49	проекта	I-TERM	I-TERM	I-TERM
50	,	O	O	O
51	предлагаемые	O	O	O
52	решения	O	O	O
53	не	O	O	O
54	обеспечивают	O	O	O
55	непосредственную	O	O	O
56	связь	O	O	O
57	между	O	O	O
58	элементами	B-TERM	O	B-TERM
59	описываемой	O	O	O
60	структуры	B-TERM	B-TERM	B-TERM
61	и	O	O	O
62	используемыми	O	O	O
63	аппаратными	B-TERM	B-TERM	B-TERM
64	и	O	O	O
65	программными	B-TERM	B-TERM	B-TERM
66	средствами	I-TERM	I-TERM	I-TERM
67	.	O	O	O
68	Также	O	O	O
69	существующие	O	O	O
70	подходы	O	B-TERM	O
71	к	O	I-TERM	O
72	моделированию	B-TERM	I-TERM	B-TERM
73	информационной	I-TERM	I-TERM	I-TERM
74	структуры	I-TERM	I-TERM	I-TERM
75	не	O	O	O
76	учитывают	O	O	O
77	возможные	O	O	O
78	внешние	O	O	O
79	и	O	O	O
80	внутренние	O	O	O
81	ограничения	O	O	O
82	,	O	O	O
83	накладываемые	O	O	O
84	на	O	O	O
85	размещение	O	O	O
86	компонентов	B-TERM	B-TERM	B-TERM
87	ЕИП	I-TERM	I-TERM	I-TERM
88	в	O	O	O
89	пространстве	B-TERM	B-TERM	B-TERM
90	предприятия	I-TERM	I-TERM	I-TERM
91	.	O	O	O
92	В	O	O	O
93	работе	O	O	O
94	предлагается	O	O	O
95	подход	O	B-TERM	B-TERM
96	к	O	I-TERM	O
97	формализации	B-TERM	I-TERM	B-TERM
98	структуры	I-TERM	I-TERM	I-TERM
99	ЕИП	I-TERM	I-TERM	I-TERM
100	предприятия	I-TERM	I-TERM	I-TERM
101	-	I-TERM	I-TERM	I-TERM
102	разработчика	I-TERM	I-TERM	I-TERM
103	МЭС	I-TERM	I-TERM	I-TERM
104	призван	O	O	O
105	устранить	O	O	O
106	данные	O	O	O
107	недостатки	O	O	O
108	.	O	O	O
109	В	O	O	O
110	статье	O	O	O
111	рассмотрена	O	O	O
112	обобщенная	O	B-TERM	O
113	модель	B-TERM	I-TERM	B-TERM
114	структурной	I-TERM	I-TERM	I-TERM
115	организации	I-TERM	I-TERM	I-TERM
116	единого	I-TERM	I-TERM	I-TERM
117	информационного	I-TERM	I-TERM	I-TERM
118	пространства	I-TERM	I-TERM	I-TERM
119	по	O	I-TERM	O
120	параллельному	B-TERM	I-TERM	B-TERM
121	методу	I-TERM	I-TERM	I-TERM
122	интеграции	I-TERM	I-TERM	I-TERM
123	средств	I-TERM	I-TERM	I-TERM
124	поддержки	I-TERM	I-TERM	I-TERM
125	жизненного	I-TERM	I-TERM	I-TERM
126	цикла	I-TERM	I-TERM	I-TERM
127	изделия	I-TERM	I-TERM	I-TERM
128	.	O	O	O
129	Модель	B-TERM	B-TERM	B-TERM
130	включает	O	O	O
131	в	O	O	O
132	себя	O	O	O
133	описание	O	O	O
134	элементов	B-TERM	B-TERM	B-TERM
135	структуры	I-TERM	I-TERM	I-TERM
136	информационного	I-TERM	I-TERM	I-TERM
137	пространства	I-TERM	I-TERM	I-TERM
138	,	O	O	O
139	каналов	B-TERM	B-TERM	B-TERM
140	связи	I-TERM	I-TERM	I-TERM
141	,	O	O	O
142	их	O	O	O
143	статических	B-TERM	B-TERM	B-TERM
144	и	O	O	O
145	динамических	B-TERM	B-TERM	B-TERM
146	характеристик	I-TERM	I-TERM	I-TERM
147	.	O	O	O
148	Предложенная	O	O	O
149	модель	B-TERM	B-TERM	B-TERM
150	также	O	O	O
151	учитывает	O	O	O
152	ограничения	O	O	O
153	,	O	O	O
154	накладываемые	O	O	O
155	на	O	O	O
156	формирование	O	B-TERM	O
157	структуры	B-TERM	I-TERM	B-TERM
158	ЕИП	I-TERM	I-TERM	I-TERM
159	.	O	O	O
160	Имитационное	B-TERM	B-TERM	B-TERM
161	моделирование	I-TERM	I-TERM	I-TERM
162	структурной	I-TERM	I-TERM	I-TERM
163	организации	I-TERM	I-TERM	I-TERM
164	ЕИП	I-TERM	I-TERM	I-TERM
165	,	O	O	O
166	представленной	O	O	O
167	в	O	O	O
168	виде	O	O	O
169	совокупности	O	B-TERM	O
170	многоканальных	B-TERM	I-TERM	B-TERM
171	систем	I-TERM	I-TERM	I-TERM
172	массового	I-TERM	I-TERM	I-TERM
173	обслуживания	I-TERM	I-TERM	I-TERM
174	позволило	O	O	O
175	сделать	O	O	O
176	выводы	O	O	O
177	о	O	O	O
178	пропускной	B-TERM	B-TERM	B-TERM
179	способности	I-TERM	I-TERM	I-TERM
180	и	O	O	O
181	надежность	O	O	O
182	рассматриваемых	O	O	O
183	вариантов	O	O	O
184	организации	O	O	B-TERM
185	ЕИП	B-TERM	B-TERM	I-TERM
186	с	O	O	O
187	учетом	O	O	O
188	предлагаемых	O	O	O
189	к	O	O	O
190	использованию	O	O	O
191	аппаратных	B-TERM	B-TERM	B-TERM
192	(	O	O	O
193	серверное	O	B-TERM	B-TERM
194	решение	O	I-TERM	I-TERM
195	)	O	O	O
196	и	O	O	O
197	программных	B-TERM	I-TERM	B-TERM
198	(	O	O	O
199	система	B-TERM	B-TERM	B-TERM
200	управления	I-TERM	I-TERM	I-TERM
201	базами	I-TERM	I-TERM	I-TERM
202	данных	I-TERM	I-TERM	I-TERM
203	)	O	O	O
204	средств	B-TERM	I-TERM	B-TERM
205	.	O	O	O
