id	token	Настя	Денис	Лена	tag
0	Семантический	B-TERM	B-TERM	B-TERM	O
1	подход	I-TERM	I-TERM	I-TERM	O
2	к	O	O	O	O
3	моделированию	B-TERM	B-TERM	B-TERM	O
4	фонда	I-TERM	I-TERM	I-TERM	O
5	оценочных	I-TERM	I-TERM	I-TERM	O
6	средств	I-TERM	I-TERM	I-TERM	O
7	Фонд	B-TERM	B-TERM	B-TERM	O
8	оценочных	I-TERM	I-TERM	I-TERM	O
9	средств	I-TERM	I-TERM	I-TERM	O
10	является	O	O	O	O
11	составной	O	O	O	O
12	частью	O	O	O	O
13	нормативно	B-TERM	B-TERM	B-TERM	O
14	-	I-TERM	I-TERM	I-TERM	O
15	методического	I-TERM	I-TERM	I-TERM	O
16	обеспечения	I-TERM	I-TERM	I-TERM	O
17	системы	B-TERM	I-TERM	I-TERM	O
18	оценки	I-TERM	I-TERM	I-TERM	O
19	качества	B-TERM	I-TERM	I-TERM	O
20	освоения	I-TERM	I-TERM	I-TERM	O
21	студентом	I-TERM	O	O	O
22	учебного	I-TERM	B-TERM	B-TERM	O
23	материала	I-TERM	I-TERM	I-TERM	O
24	.	O	O	O	O
25	Онтологический	B-TERM	B-TERM	B-TERM	O
26	подход	I-TERM	I-TERM	I-TERM	O
27	к	O	O	O	O
28	моделированию	O	B-TERM	B-TERM	O
29	фонда	B-TERM	I-TERM	I-TERM	O
30	оценочных	I-TERM	I-TERM	I-TERM	O
31	средств	I-TERM	I-TERM	I-TERM	O
32	позволяет	O	O	O	O
33	формировать	O	O	O	O
34	актуальные	B-TERM	O	O	O
35	оценочные	I-TERM	B-TERM	B-TERM	O
36	документы	I-TERM	I-TERM	I-TERM	O
37	,	O	O	O	O
38	которые	O	O	O	O
39	учитывают	O	O	O	O
40	не	O	O	O	O
41	только	O	O	O	O
42	всевозможные	O	O	O	O
43	пожелания	B-TERM	B-TERM	O	O
44	экзаменатора	I-TERM	I-TERM	B-TERM	O
45	,	O	O	O	O
46	но	O	O	O	O
47	и	O	O	O	O
48	степень	B-TERM	B-TERM	B-TERM	O
49	усвоения	I-TERM	I-TERM	I-TERM	O
50	различных	I-TERM	O	O	O
51	компетенций	I-TERM	B-TERM	B-TERM	O
52	и	O	O	O	O
53	степень	B-TERM	B-TERM	B-TERM	O
54	овладения	I-TERM	I-TERM	I-TERM	O
55	различными	I-TERM	O	O	O
56	профессиональными	I-TERM	B-TERM	B-TERM	O
57	функциями	I-TERM	I-TERM	I-TERM	O
58	.	O	O	O	O
59	В	O	O	O	O
60	статье	O	O	O	O
61	приведено	O	O	O	O
62	описание	O	O	O	O
63	онтологии	B-TERM	B-TERM	B-TERM	O
64	,	O	O	O	O
65	семантической	B-TERM	B-TERM	B-TERM	O
66	и	I-TERM	O	O	O
67	нечеткой	I-TERM	B-TERM	B-TERM	O
68	моделей	I-TERM	I-TERM	I-TERM	O
69	фонда	I-TERM	I-TERM	I-TERM	O
70	оценочных	I-TERM	I-TERM	I-TERM	O
71	средств	I-TERM	I-TERM	I-TERM	O
72	.	O	O	O	O
73	Описан	O	O	O	O
74	алгоритм	B-TERM	B-TERM	B-TERM	O
75	порождения	I-TERM	I-TERM	I-TERM	O
76	шаблона	I-TERM	I-TERM	I-TERM	O
77	оценочного	I-TERM	I-TERM	I-TERM	O
78	документа	I-TERM	I-TERM	I-TERM	O
79	,	O	O	O	O
80	состоящий	O	O	O	O
81	из	O	O	O	O
82	трех	O	O	O	O
83	этапов	O	O	O	O
84	:	O	O	O	O
85	сужение	B-TERM	B-TERM	B-TERM	O
86	,	O	O	O	O
87	ограничение	B-TERM	B-TERM	B-TERM	O
88	и	O	O	O	O
89	определение	B-TERM	B-TERM	B-TERM	O
90	.	O	O	O	O
91	На	O	O	O	O
92	каждом	O	O	O	O
93	этапе	O	O	O	O
94	генерируется	O	O	O	O
95	соответствующая	B-TERM	O	O	O
96	нечеткая	I-TERM	B-TERM	B-TERM	O
97	модель	I-TERM	I-TERM	I-TERM	O
98	,	O	O	O	O
99	в	O	O	O	O
100	рамках	O	O	O	O
101	которой	O	O	O	O
102	проверяется	O	O	O	O
103	непротиворечивость	B-TERM	B-TERM	B-TERM	O
104	заданного	I-TERM	O	O	O
105	шаблона	I-TERM	B-TERM	B-TERM	O
106	и	O	O	O	O
107	выполнимость	B-TERM	B-TERM	B-TERM	O
108	данного	I-TERM	O	O	O
109	шаблона	I-TERM	B-TERM	B-TERM	O
110	на	O	O	O	O
111	имеющейся	O	O	O	O
112	базе	B-TERM	B-TERM	B-TERM	O
113	оценочных	I-TERM	I-TERM	I-TERM	O
114	средств	I-TERM	I-TERM	I-TERM	O
115	.	O	O	O	O
116	Для	O	O	O	O
117	формирования	O	O	O	O
118	комплекта	B-TERM	B-TERM	B-TERM	O
119	оценочных	I-TERM	I-TERM	I-TERM	O
120	документов	I-TERM	I-TERM	I-TERM	O
121	используется	O	O	O	O
122	алгоритм	B-TERM	B-TERM	B-TERM	O
123	CLOPE	I-TERM	I-TERM	I-TERM	O
124	,	O	O	O	O
125	позволяющий	O	O	O	O
126	кластеризовать	O	O	O	O
127	категорийные	B-TERM	B-TERM	B-TERM	O
128	данные	I-TERM	I-TERM	I-TERM	O
129	.	O	O	O	O
