id	token	Настя	Денис	Лена	tag
0	Электромагнитное	B-TERM	B-TERM	B-TERM	O
1	профилирование	I-TERM	I-TERM	I-TERM	O
2	компактной	I-TERM	I-TERM	I-TERM	O
3	аппаратурой	I-TERM	I-TERM	I-TERM	O
4	:	O	O	O	O
5	новый	O	O	O	O
6	подход	O	O	O	O
7	и	O	O	O	O
8	результаты	O	O	O	O
9	применения	O	O	O	O
10	Современные	O	O	O	O
11	портативные	B-TERM	B-TERM	B-TERM	O
12	приборы	I-TERM	I-TERM	I-TERM	O
13	для	I-TERM	O	O	O
14	электромагнитного	I-TERM	B-TERM	B-TERM	O
15	профилирования	I-TERM	I-TERM	I-TERM	O
16	и	I-TERM	O	O	O
17	малоглубинного	I-TERM	B-TERM	B-TERM	O
18	зондирования	I-TERM	I-TERM	I-TERM	O
19	позволяют	O	O	O	O
20	изучать	O	O	O	O
21	распределение	B-TERM	B-TERM	B-TERM	O
22	удельного	I-TERM	I-TERM	I-TERM	O
23	электрического	I-TERM	I-TERM	I-TERM	O
24	сопротивления	I-TERM	I-TERM	I-TERM	O
25	грунта	I-TERM	I-TERM	I-TERM	O
26	.	O	O	O	O
27	К	O	O	O	O
28	типичным	O	O	O	O
29	сферам	B-TERM	B-TERM	B-TERM	O
30	применения	I-TERM	I-TERM	I-TERM	O
31	подобных	O	O	O	O
32	комплексов	O	B-TERM	B-TERM	O
33	можно	O	O	O	O
34	отнести	O	O	O	O
35	:	O	O	O	O
36	исследование	O	O	O	O
37	археологических	B-TERM	B-TERM	B-TERM	O
38	объектов	I-TERM	I-TERM	I-TERM	O
39	–	O	O	O	O
40	курганы	B-TERM	B-TERM	B-TERM	O
41	,	O	O	O	O
42	древние	B-TERM	B-TERM	B-TERM	O
43	поселения	I-TERM	I-TERM	I-TERM	O
44	;	O	O	O	O
45	решение	O	O	O	O
46	экологических	I-TERM	B-TERM	B-TERM	O
47	задач	I-TERM	I-TERM	I-TERM	O
48	–	O	O	O	O
49	изучение	O	O	O	O
50	отвалов	B-TERM	B-TERM	B-TERM	O
51	и	O	O	O	O
52	хвостохранилищ	B-TERM	B-TERM	B-TERM	O
53	горнодобывающих	I-TERM	I-TERM	I-TERM	O
54	предприятий	I-TERM	I-TERM	I-TERM	O
55	,	O	O	O	O
56	зон	B-TERM	B-TERM	B-TERM	O
57	распространения	I-TERM	I-TERM	I-TERM	O
58	вредных	I-TERM	I-TERM	I-TERM	O
59	веществ	I-TERM	I-TERM	I-TERM	O
60	;	O	O	O	O
61	локализация	B-TERM	O	O	O
62	инженерных	I-TERM	B-TERM	B-TERM	O
63	объектов	I-TERM	I-TERM	I-TERM	O
64	–	O	O	O	O
65	труб	B-TERM	B-TERM	B-TERM	O
66	и	O	O	O	O
67	коммуникаций	B-TERM	B-TERM	B-TERM	O
68	,	O	O	O	O
69	исследование	O	O	O	O
70	состояния	B-TERM	B-TERM	B-TERM	O
71	дамб	I-TERM	I-TERM	I-TERM	O
72	и	I-TERM	O	O	O
73	плотин	I-TERM	B-TERM	B-TERM	O
74	.	O	O	O	O
75	Перспективной	O	O	O	O
76	сферой	O	B-TERM	B-TERM	O
77	являются	O	O	O	O
78	объекты	B-TERM	B-TERM	B-TERM	O
79	агропромышленного	I-TERM	I-TERM	I-TERM	O
80	комплекса	I-TERM	I-TERM	I-TERM	O
81	–	O	O	O	O
82	оценка	B-TERM	O	O	O
83	плодородности	I-TERM	B-TERM	B-TERM	O
84	почв	I-TERM	I-TERM	I-TERM	O
85	(	O	O	O	O
86	распределение	B-TERM	B-TERM	B-TERM	O
87	минерализации	I-TERM	I-TERM	I-TERM	O
88	),	O	O	O	O
89	контроль	B-TERM	O	O	O
90	эффективности	I-TERM	B-TERM	B-TERM	O
91	мелиорации	I-TERM	I-TERM	I-TERM	O
92	.	O	O	O	O
93	Целью	O	O	O	O
94	проводимых	O	O	O	O
95	исследований	O	B-TERM	B-TERM	O
96	является	O	O	O	O
97	разработка	O	B-TERM	B-TERM	O
98	и	O	O	O	O
99	создание	O	B-TERM	B-TERM	O
100	переносного	I-TERM	I-TERM	I-TERM	O
101	программно	I-TERM	I-TERM	I-TERM	O
102	-	I-TERM	I-TERM	I-TERM	O
103	аппаратурного	I-TERM	I-TERM	I-TERM	O
104	комплекса	I-TERM	I-TERM	I-TERM	O
105	электромагнитного	I-TERM	I-TERM	I-TERM	O
106	профилирования	I-TERM	I-TERM	I-TERM	O
107	,	O	O	O	O
108	позволяющего	O	O	O	O
109	с	O	O	O	O
110	высокой	O	O	O	O
