id	token	Настя	Денис	Лена	tag
0	Разработка	O	O	O	O
1	и	O	O	O	O
2	реализация	O	O	O	O
3	алгоритмов	B-TERM	B-TERM	B-TERM	O
4	разрешения	I-TERM	I-TERM	I-TERM	O
5	конфликтов	I-TERM	I-TERM	I-TERM	O
6	по	I-TERM	I-TERM	I-TERM	O
7	доступу	I-TERM	I-TERM	I-TERM	O
8	к	I-TERM	O	I-TERM	O
9	памяти	I-TERM	B-TERM	I-TERM	O
10	в	O	O	O	O
11	динамическом	B-TERM	B-TERM	B-TERM	O
12	компиляторе	I-TERM	I-TERM	I-TERM	O
13	Java	I-TERM	I-TERM	I-TERM	O
14	для	O	O	O	O
15	процессора	B-TERM	B-TERM	B-TERM	O
16	«	O	O	I-TERM	O
17	Эльбрус	O	B-TERM	I-TERM	O
18	»	O	O	I-TERM	O
19	Рассмотрены	O	O	O	O
20	особенности	O	O	O	O
21	разработки	O	O	O	O
22	алгоритмов	B-TERM	B-TERM	B-TERM	O
23	разрешения	I-TERM	I-TERM	I-TERM	O
24	конфликтов	I-TERM	I-TERM	I-TERM	O
25	по	I-TERM	I-TERM	I-TERM	O
26	доступу	I-TERM	I-TERM	I-TERM	O
27	к	I-TERM	O	I-TERM	O
28	памяти	I-TERM	B-TERM	I-TERM	O
29	и	O	O	O	O
30	их	O	O	O	O
31	реализация	O	O	O	O
32	в	O	O	O	O
33	динамическом	B-TERM	B-TERM	B-TERM	O
34	компиляторе	I-TERM	I-TERM	I-TERM	O
35	Java	I-TERM	I-TERM	I-TERM	O
36	для	O	O	O	O
37	отечественной	O	O	O	O
38	платформы	B-TERM	B-TERM	B-TERM	O
39	«	O	O	I-TERM	O
40	Эльбрус	O	B-TERM	I-TERM	O
41	».	O	O	I-TERM	O
42	Эти	O	O	O	O
43	алгоритмы	B-TERM	B-TERM	B-TERM	O
44	позволяют	O	O	O	O
45	существенно	O	O	O	O
46	расширить	O	O	O	O
47	возможности	O	O	O	O
48	планировщика	B-TERM	B-TERM	B-TERM	O
49	инструкций	I-TERM	I-TERM	I-TERM	O
50	–	O	O	O	O
51	ключевой	O	O	O	O
52	оптимизации	B-TERM	O	B-TERM	O
53	VLIW	I-TERM	B-TERM	B-TERM	O
54	-	I-TERM	I-TERM	I-TERM	O
55	процессоров	I-TERM	I-TERM	I-TERM	O
56	.	O	O	O	O
57	В	O	O	O	O
58	работе	O	O	O	O
59	исследуются	O	O	O	O
60	статические	B-TERM	O	B-TERM	O
61	и	I-TERM	O	I-TERM	O
62	динамические	I-TERM	O	I-TERM	O
63	подходы	I-TERM	O	I-TERM	O
64	к	O	O	O	O
65	анализу	O	O	O	O
66	зависимостей	O	B-TERM	B-TERM	O
67	по	O	I-TERM	I-TERM	O
68	памяти	O	I-TERM	I-TERM	O
69	,	O	O	O	O
70	и	O	O	O	O
71	приводится	O	O	O	O
72	сравнение	O	O	O	O
73	эффективности	O	O	O	O
74	реализованных	O	O	O	O
75	алгоритмов	B-TERM	B-TERM	B-TERM	O
76	на	O	O	O	O
77	основе	O	O	O	O
78	стандартной	O	O	O	O
79	тестовой	O	O	O	O
80	сюиты	B-TERM	B-TERM	B-TERM	O
81	SpecJVM2008	I-TERM	I-TERM	I-TERM	O
82	.	O	O	O	O
