id	token	Настя	Денис	Лена	tag
0	Метод	B-TERM	B-TERM	B-TERM	O
1	повышения	I-TERM	I-TERM	I-TERM	O
2	робастных	I-TERM	I-TERM	I-TERM	O
3	свойств	I-TERM	I-TERM	I-TERM	O
4	линейной	I-TERM	I-TERM	I-TERM	O
5	замкнутой	I-TERM	I-TERM	I-TERM	O
6	системы	I-TERM	I-TERM	I-TERM	O
7	в	O	O	O	O
8	условиях	B-TERM	O	B-TERM	O
9	структурно	I-TERM	B-TERM	I-TERM	O
10	-	I-TERM	I-TERM	I-TERM	O
11	параметрической	I-TERM	I-TERM	I-TERM	O
12	неопределенности	I-TERM	I-TERM	I-TERM	O
13	описания	I-TERM	O	I-TERM	O
14	передаточной	I-TERM	B-TERM	I-TERM	O
15	функции	I-TERM	I-TERM	I-TERM	O
16	объекта	I-TERM	I-TERM	I-TERM	B-TERM
17	управления	I-TERM	I-TERM	I-TERM	I-TERM
18	Для	O	O	O	O
19	линейных	B-TERM	B-TERM	B-TERM	O
20	систем	I-TERM	I-TERM	I-TERM	B-TERM
21	управления	I-TERM	I-TERM	I-TERM	I-TERM
22	,	O	O	O	O
23	состоящих	O	O	O	O
24	из	O	O	O	O
25	объекта	B-TERM	B-TERM	B-TERM	B-TERM
26	управления	I-TERM	I-TERM	I-TERM	I-TERM
27	со	O	O	O	O
28	структурно	B-TERM	B-TERM	B-TERM	O
29	-	I-TERM	I-TERM	I-TERM	O
30	параметрической	I-TERM	I-TERM	I-TERM	O
31	неопределенностью	I-TERM	I-TERM	I-TERM	O
32	в	O	O	I-TERM	O
33	описании	O	O	I-TERM	O
34	и	O	O	O	O
35	модального	B-TERM	B-TERM	B-TERM	O
36	регулятора	I-TERM	I-TERM	I-TERM	O
37	,	O	O	O	O
38	обоснована	O	O	O	O
39	мера	B-TERM	B-TERM	B-TERM	O
40	робастных	I-TERM	I-TERM	I-TERM	O
41	свойств	I-TERM	I-TERM	I-TERM	O
42	устойчивости	I-TERM	I-TERM	I-TERM	O
43	и	O	O	O	O
44	качества	B-TERM	B-TERM	B-TERM	O
45	управления	I-TERM	I-TERM	I-TERM	O
46	.	O	O	O	O
47	Разработан	O	O	O	O
48	алгоритм	B-TERM	B-TERM	B-TERM	O
49	вариации	I-TERM	I-TERM	I-TERM	O
50	настроек	I-TERM	I-TERM	I-TERM	O
51	модального	I-TERM	I-TERM	I-TERM	O
52	регулятора	I-TERM	I-TERM	I-TERM	O
53	,	O	O	O	O
54	последовательно	O	O	O	O
55	повышающий	O	O	O	O
56	меру	B-TERM	B-TERM	B-TERM	O
57	робастности	I-TERM	I-TERM	I-TERM	O
58	замкнутой	I-TERM	I-TERM	I-TERM	O
59	системы	I-TERM	I-TERM	I-TERM	O
60	.	O	O	O	O
61	Предложенный	O	O	O	O
62	алгоритм	B-TERM	B-TERM	B-TERM	O
63	может	O	O	O	O
64	быть	O	O	O	O
65	реализован	O	O	O	O
66	на	O	O	O	O
67	ЭВМ	B-TERM	B-TERM	B-TERM	O
68	.	O	O	O	O
