id	token	Денис	Настя	Лена		
0	Разработка	O	B-TERM	O		
1	среды	B-TERM	I-TERM	B-TERM		
2	программирования	I-TERM	I-TERM	I-TERM		
3	для	O	O	O		
4	мобильных	B-TERM	B-TERM	B-TERM		
5	устройств	I-TERM	I-TERM	I-TERM		
6	под	O	I-TERM	O		
7	управлением	O	I-TERM	O		
8	операционной	B-TERM	I-TERM	B-TERM		
9	системы	I-TERM	I-TERM	I-TERM		
10	Android	I-TERM	I-TERM	I-TERM		
11	Мобильные	B-TERM	B-TERM	B-TERM		
12	устройства	I-TERM	I-TERM	I-TERM		
13	часто	O	O	O		
14	используются	O	O	O		
15	для	O	O	O		
16	образовательных	O	B-TERM	B-TERM		
17	целей	O	I-TERM	I-TERM		
18	,	O	O	O		
19	учитывая	O	O	O		
20	их	O	O	O		
21	высокую	O	O	O		
22	доступность	B-TERM	B-TERM	B-TERM		
23	и	O	O	O		
24	портативность	B-TERM	B-TERM	B-TERM		
25	.	O	O	O		
26	Однако	O	O	O		
27	образовательные	B-TERM	B-TERM	B-TERM	или	B-TERM
28	возможности	I-TERM	I-TERM	I-TERM		I-TERM
29	мобильных	I-TERM	I-TERM	I-TERM		B-TERM
30	устройств	I-TERM	I-TERM	I-TERM		I-TERM
31	ограничены	O	O	O		
32	из	O	O	O		
33	-	O	O	O		
34	за	O	O	O		
35	отсутствия	O	O	O		
36	качественных	O	O	O		
37	IDE	B-TERM	B-TERM	B-TERM		
38	.	O	O	O		
39	Большинство	O	O	O		
40	сред	B-TERM	B-TERM	B-TERM		
41	разработки	I-TERM	I-TERM	I-TERM		
42	языка	O	I-TERM	B-TERM		
43	C	B-TERM	I-TERM	I-TERM		
44	++	I-TERM	I-TERM	I-TERM		
45	для	O	I-TERM	O		
46	Android	B-TERM	I-TERM	B-TERM		
47	не	O	O	O		
48	имеют	O	O	O		
49	автодополнения	B-TERM	B-TERM	B-TERM		
50	и	O	O	O		
51	анализа	B-TERM	B-TERM	B-TERM		
52	кода	I-TERM	I-TERM	I-TERM		
53	,	O	O	O		
54	в	O	O	O		
55	то	O	O	O		
56	время	O	O	O		
57	как	O	O	O		
58	остальные	O	O	O		
59	предоставляют	O	O	O		
60	эти	O	O	O		
61	возможности	O	O	O		
62	с	O	O	O		
63	крайне	O	O	O		
64	низкой	O	O	O		
65	производительностью	B-TERM	B-TERM	B-TERM		
66	.	O	O	O		
67	В	O	O	O		
68	этой	O	O	O		
69	работе	O	O	O		
70	мы	O	O	O		
71	описываем	O	O	O		
72	технологию	B-TERM	B-TERM	B-TERM		
73	переноса	I-TERM	I-TERM	I-TERM		
74	программного	I-TERM	I-TERM	I-TERM		
75	обеспечения	I-TERM	I-TERM	I-TERM		
76	,	O	O	O		
77	примененную	O	O	O		
78	к	O	O	O		
79	компилятору	B-TERM	B-TERM	B-TERM		
80	Clang	I-TERM	I-TERM	I-TERM		
81	(	O	O	O		
82	и	O	O	O		
83	другим	O	O	O		
84	необходимым	O	O	O		
85	инструментам	O	O	O		
86	)	O	O	O		
87	и	O	O	O		
88	предлагаем	O	O	O		
89	метод	O	B-TERM	B-TERM		
90	ускорения	O	I-TERM	I-TERM		
91	компиляции	B-TERM	I-TERM	I-TERM		
92	,	O	O	O		
93	автодополнения	O	I-TERM	B-TERM		
94	и	O	I-TERM	O		
95	анализа	B-TERM	I-TERM	B-TERM		
96	кода	I-TERM	I-TERM	I-TERM		
97	в	O	I-TERM	O		
98	нашей	O	I-TERM	O		
99	IDE	B-TERM	I-TERM	B-TERM		
100	.	O	O	O		
101	Наряду	O	O	O		
102	с	O	O	O		
103	этим	O	O	O		
104	,	O	O	O		
105	мы	O	O	O		
106	предлагаем	O	O	O		
107	методы	B-TERM	B-TERM	B-TERM	или	B-TERM
108	оптимизации	I-TERM	I-TERM	I-TERM		I-TERM
109	пользовательского	I-TERM	I-TERM	I-TERM		B-TERM
110	интерфейса	I-TERM	I-TERM	I-TERM		I-TERM
111	.	O	O	O		
112	В	O	O	O		
113	работе	O	O	O		
114	описан	O	O	O		
115	основанный	O	B-TERM	O		
116	на	O	I-TERM	O		
117	регулярных	B-TERM	I-TERM	B-TERM		
118	выражениях	I-TERM	I-TERM	I-TERM		
119	эвристический	B-TERM	I-TERM	B-TERM		
120	метод	I-TERM	I-TERM	I-TERM		
121	для	O	I-TERM	O		
122	генерации	B-TERM	I-TERM	B-TERM		
123	предкомпилированных	I-TERM	I-TERM	I-TERM		
124	заголовков	I-TERM	I-TERM	I-TERM		
125	,	O	O	O		
126	который	O	O	O		
127	имеет	O	O	O		
128	низкие	O	O	O		
129	требования	B-TERM	O	B-TERM		
130	к	O	O	O		
131	процессору	B-TERM	B-TERM	B-TERM		
132	и	O	O	O		
133	ОЗУ	B-TERM	B-TERM	B-TERM		
134	.	O	O	O		
135	Эффективность	O	O	O	или	B-TERM
136	метода	B-TERM	B-TERM	B-TERM		B-TERM
137	проверена	O	O	O		O
138	на	O	O	O		O
139	различных	O	O	O		O
140	образовательных	O	O	O		B-TERM
141	примерах	O	O	O		I-TERM
142	.	O	O	O		O
