id	token	Денис	Настя	Лена		
0	Методологические	B-TERM	B-TERM	B-TERM		
1	аспекты	I-TERM	I-TERM	I-TERM		
2	применения	I-TERM	I-TERM	I-TERM		
3	инструментария	I-TERM	I-TERM	I-TERM		
4	ГИС	I-TERM	I-TERM	I-TERM		
5	для	O	I-TERM	O		
6	управления	B-TERM	I-TERM	B-TERM	или	B-TERM
7	трудоустройством	I-TERM	I-TERM	I-TERM		B-TERM
8	выпускников	I-TERM	I-TERM	I-TERM		I-TERM
9	региональных	I-TERM	I-TERM	I-TERM		I-TERM
10	вузов	I-TERM	I-TERM	I-TERM		I-TERM
11	Целью	O	O	O		
12	данного	O	O	O		
13	исследования	O	O	O		
14	является	O	O	O		
15	совершенствование	O	O	O		
16	механизма	B-TERM	B-TERM	B-TERM		
17	трудоустройства	I-TERM	I-TERM	I-TERM		
18	выпускников	I-TERM	I-TERM	I-TERM		
19	вузов	I-TERM	I-TERM	I-TERM		
20	по	O	I-TERM	O		
21	специальностям	B-TERM	I-TERM	O		
22	с	O	I-TERM	O		
23	учётом	O	I-TERM	O		
24	нужд	O	I-TERM	O		
25	региона	B-TERM	I-TERM	O		
26	с	O	I-TERM	O		
27	использованием	O	I-TERM	O		
28	современных	O	I-TERM	O		
29	компьютерных	B-TERM	I-TERM	B-TERM		
30	технологий	I-TERM	I-TERM	I-TERM		
31	.	O	O	O		
32	В	O	O	O		
33	статье	O	O	O		
34	рассматриваются	O	O	O		
35	преимущества	O	B-TERM	O		
36	и	O	O	O		
37	методологические	O	B-TERM	B-TERM		
38	аспекты	B-TERM	I-TERM	I-TERM		
39	применения	I-TERM	I-TERM	I-TERM		
40	инструментария	I-TERM	I-TERM	I-TERM		
41	географических	I-TERM	I-TERM	I-TERM		
42	информационных	I-TERM	I-TERM	I-TERM		
43	систем	I-TERM	I-TERM	I-TERM		
44	,	O	O	O		
45	которые	O	O	O		
46	являются	O	O	O		
47	симбиозом	O	O	O		
48	возможностей	O	O	O		
49	управления	O	O	O		
50	большими	O	O	O		
51	базами	B-TERM	B-TERM	B-TERM		
52	данных	I-TERM	I-TERM	I-TERM		
53	и	O	O	O		
54	пространственной	B-TERM	B-TERM	B-TERM		
55	визуализации	I-TERM	I-TERM	I-TERM		
56	,	O	O	O		
57	характерной	O	O	O		
58	для	O	O	O		
59	топографических	B-TERM	B-TERM	B-TERM		
60	карт	I-TERM	I-TERM	I-TERM		
61	с	O	O	O		
62	использованием	O	B-TERM	O		
63	QGIS	B-TERM	I-TERM	B-TERM		
64	.	O	O	O		
65	Каждый	O	O	O		
66	информационный	B-TERM	B-TERM	B-TERM		
67	слой	I-TERM	I-TERM	I-TERM		
68	представлен	O	O	O		
69	таблицей	B-TERM	B-TERM	B-TERM		
70	реляционной	I-TERM	I-TERM	I-TERM		
71	базы	I-TERM	I-TERM	I-TERM		
72	данных	I-TERM	I-TERM	I-TERM		
73	или	O	O	O		
74	электронной	B-TERM	B-TERM	B-TERM		
75	таблицей	I-TERM	I-TERM	I-TERM		
76	,	O	O	O		
77	в	O	O	O		
78	которых	O	O	O		
79	имеется	O	O	O		
80	поле	B-TERM	B-TERM	B-TERM		
81	привязки	I-TERM	I-TERM	I-TERM		
82	к	I-TERM	I-TERM	I-TERM		
83	географическому	I-TERM	I-TERM	I-TERM		
84	местоположению	I-TERM	I-TERM	I-TERM		
85	,	O	O	O		
86	что	O	O	O		
87	позволяет	O	O	O		
88	разместить	O	O	O		
89	данные	B-TERM	O	B-TERM		
90	на	O	O	O		
91	карте	O	O	B-TERM		
92	.	O	O	O		
93	Научная	O	O	O		
94	значимость	O	O	O		
95	статьи	O	O	O		
96	обусловлена	O	O	O		
97	тем	O	O	O		
98	,	O	O	O		
99	что	O	O	O		
100	данная	O	O	O		
101	технология	O	O	B-TERM		
102	способствует	O	O	O		
103	созданию	O	O	O		
104	единого	B-TERM	O	B-TERM	или 	B-TERM
105	информационного	I-TERM	B-TERM	I-TERM		I-TERM
106	пространства	I-TERM	I-TERM	I-TERM		I-TERM
107	рынка	I-TERM	I-TERM	I-TERM		I-TERM
108	работодателей	I-TERM	I-TERM	I-TERM		I-TERM
109	по	O	I-TERM	O		O
110	востребованным	O	I-TERM	O		O
111	специальностям	B-TERM	I-TERM	B-TERM		O
112	,	O	O	O		
113	а	O	O	O		
114	также	O	O	O		
115	активному	O	O	O		
116	налаживанию	O	O	O		
117	сотрудничества	O	O	O		
118	между	O	O	O		
119	вузами	O	O	O		
120	и	O	O	O		
121	работодателями	O	O	O		
122	с	O	O	O		
123	целью	O	O	O		
124	совершенствования	O	O	O		
125	механизма	B-TERM	B-TERM	B-TERM		
126	трудоустройства	I-TERM	I-TERM	I-TERM		
127	выпускников	I-TERM	I-TERM	I-TERM		
128	вузов	I-TERM	I-TERM	I-TERM		
129	на	O	I-TERM	O		
130	основе	O	I-TERM	O		
131	компетентностного	B-TERM	I-TERM	B-TERM		
132	подхода	I-TERM	I-TERM	I-TERM		
133	.	O	O	O		
134	Результатом	O	O	O		
135	исследования	O	O	O		
136	являются	O	O	O		
137	методологические	B-TERM	B-TERM	B-TERM		
138	аспекты	I-TERM	I-TERM	I-TERM		
139	применения	O	I-TERM	O		
140	открытой	B-TERM	I-TERM	B-TERM		
141	геоинформационной	I-TERM	I-TERM	I-TERM		
142	системы	I-TERM	I-TERM	I-TERM		
143	QGIS	I-TERM	I-TERM	I-TERM		
144	для	O	O	O		
145	управления	O	O	O		
146	трудоустройством	B-TERM	O	B-TERM		
147	молодых	I-TERM	O	I-TERM		
148	специалистов	I-TERM	O	I-TERM		
149	.	O	O	O		
150	Кроме	O	O	O		
151	того	O	O	O		
152	,	O	O	O		
153	поставлены	O	O	O		
154	задачи	O	O	O		
155	для	O	O	O		
156	перспективного	O	O	O		
157	развития	O	O	O		
158	механизма	B-TERM	B-TERM	B-TERM		
159	применения	I-TERM	I-TERM	I-TERM		
160	геоинформационных	I-TERM	I-TERM	I-TERM		
161	технологий	I-TERM	I-TERM	I-TERM		
162	в	O	O	O		
163	трудоустройстве	B-TERM	O	B-TERM		
164	выпускников	I-TERM	O	I-TERM		
165	вузов	I-TERM	O	I-TERM		
166	.	O	O	O		
