id	token	Настя	Денис	Лена	tag	tag
0	Математическое	B-TERM	B-TERM	B-TERM	B-TERM	B-TERM
1	моделирование	I-TERM	I-TERM	I-TERM	I-TERM	I-TERM
2	упругопластических	I-TERM	I-TERM	I-TERM	O	O
3	деформаций	I-TERM	I-TERM	I-TERM	O	O
4	для	O	O	O	O	O
5	задач	O	B-TERM	B-TERM	O	O
6	образования	B-TERM	I-TERM	I-TERM	O	O
7	и	I-TERM	I-TERM	I-TERM	O	O
8	эволюции	B-TERM	I-TERM	I-TERM	O	O
9	геологических	I-TERM	I-TERM	I-TERM	O	O
10	трещин	I-TERM	I-TERM	I-TERM	O	O
11	Представлена	O	O	O	O	O
12	математическая	B-TERM	B-TERM	B-TERM	B-TERM	B-TERM
13	модель	I-TERM	I-TERM	I-TERM	I-TERM	I-TERM
14	упругопластических	I-TERM	I-TERM	I-TERM	O	O
15	сред	I-TERM	I-TERM	I-TERM	O	O
16	с	O	O	O	O	O
17	учетом	O	O	O	O	O
18	фазовых	B-TERM	B-TERM	B-TERM	O	O
19	переходов	I-TERM	I-TERM	I-TERM	O	O
20	между	O	O	O	O	O
21	твердым	B-TERM	B-TERM	B-TERM	B-TERM	B-TERM
22	телом	I-TERM	I-TERM	I-TERM	I-TERM	I-TERM
23	,	O	O	O	O	O
24	жидкостью	B-TERM	B-TERM	B-TERM	O	O
25	и	O	O	O	O	O
26	газом	B-TERM	B-TERM	B-TERM	O	O
27	.	O	O	O	O	O
28	Также	O	O	O	O	O
29	учтен	O	O	O	O	O
30	процесс	B-TERM	B-TERM	B-TERM	O	O
31	откола	I-TERM	I-TERM	I-TERM	O	O
32	вещества	I-TERM	I-TERM	I-TERM	O	O
33	от	O	O	O	O	O
34	газовой	B-TERM	B-TERM	B-TERM	O	O
35	фазы	I-TERM	I-TERM	I-TERM	O	O
36	.	O	O	O	O	O
37	Сформулирован	O	O	O	O	O
38	один	O	O	O	O	O
39	из	O	O	O	O	O
40	подходов	B-TERM	O	O	O	O
41	к	O	O	O	O	O
42	записи	O	O	O	O	O
43	уравнения	B-TERM	B-TERM	B-TERM	O	O
44	состояния	I-TERM	I-TERM	I-TERM	O	O
45	упругопластических	I-TERM	I-TERM	I-TERM	O	O
46	сред	I-TERM	I-TERM	I-TERM	O	O
47	,	O	O	O	O	O
48	выписаны	O	O	O	O	O
49	основные	O	O	O	O	O
50	инварианты	B-TERM	B-TERM	B-TERM	O	O
51	,	O	O	O	O	O
52	используемые	O	O	O	O	O
53	для	O	O	O	O	O
54	построения	O	O	O	O	O
55	уравнения	B-TERM	B-TERM	B-TERM	O	O
56	состояния	I-TERM	I-TERM	I-TERM	O	O
57	.	O	O	O	O	O
58	Представлены	O	O	O	O	O
59	результаты	O	O	O	O	O
60	математического	B-TERM	B-TERM	B-TERM	B-TERM	B-TERM
61	моделирования	I-TERM	I-TERM	I-TERM	I-TERM	I-TERM
62	геологических	I-TERM	I-TERM	I-TERM	O	O
63	деформаций	I-TERM	I-TERM	I-TERM	O	O
64	,	O	O	O	O	O
65	приводящих	O	O	O	O	O
66	к	O	O	O	O	O
67	образованию	O	O	B-TERM	O	O
68	трещин	B-TERM	B-TERM	I-TERM	O	O
69	.	O	O	O	O	O
